,County,Worship,Convention,Cruise,Sports,Parks,wratio,c1ratio,c2ratio,spratio,parkratio,Score,Rating
0,ALAMEDA,1288,13,0,5,58,0.04393355391070028,0.02620967741935484,0.0,0.07142857142857142,0.01147605856747131,0.02912512047360131,10
1,ALPINE,2,0,0,0,3,6.821980420916192e-05,0.0,0.0,0.0,0.000593589236248516,0.00021150703959133772,1
2,AMADOR,24,6,0,0,25,0.000818637650509943,0.012096774193548387,0.0,0.0,0.004946576968737634,0.005038392971294103,3
3,BUTTE,172,8,0,0,110,0.005866903161987925,0.016129032258064516,0.0,0.0,0.02176493866244559,0.012729435455363317,7
4,CALAVERAS,27,6,0,0,21,0.0009209673568236859,0.012096774193548387,0.0,0.0,0.004155124653739612,0.004795041474224178,3
5,COLUSA,13,6,0,0,16,0.00044342872735955247,0.012096774193548387,0.0,0.0,0.0031658092599920855,0.004369761950415509,3
6,CONTRA COSTA,781,8,0,1,70,0.02663983354367773,0.016129032258064516,0.0,0.014285714285714285,0.013850415512465374,0.016150609053136446,8
7,DEL NORTE,25,6,0,0,63,0.000852747552614524,0.012096774193548387,0.0,0.0,0.012465373961218837,0.00755148061587542,5
8,EL DORADO,91,12,0,0,72,0.0031040010915168673,0.024193548387096774,0.0,0.0,0.014246141669964385,0.011821127011517307,6
9,FRESNO,737,16,0,3,91,0.025138997851076168,0.03225806451612903,0.0,0.04285714285714286,0.018005540166204988,0.025346082544203688,9
10,GLENN,28,4,0,0,17,0.0009550772589282669,0.008064516129032258,0.0,0.0,0.0033636723387415906,0.003462777199108119,2
11,HUMBOLDT,88,7,0,0,98,0.0030016713852031246,0.014112903225806451,0.0,0.0,0.019390581717451522,0.010827302376406186,6
12,IMPERIAL,96,6,0,0,78,0.003274550602039772,0.012096774193548387,0.0,0.0,0.015433320142461416,0.009025156619507998,5
13,INYO,34,6,0,0,43,0.0011597366715557526,0.012096774193548387,0.0,0.0,0.00850811238622873,0.006293791248000297,4
14,KERN,586,4,0,2,204,0.01998840263328444,0.008064516129032258,0.0,0.02857142857142857,0.04036406806489909,0.023412431325555663,9
15,KINGS,85,6,0,0,15,0.0028993416788893815,0.012096774193548387,0.0,0.0,0.00296794618124258,0.004794990181138306,3
16,KLAMATH,0,0,0,0,1,0.0,0.0,0.0,0.0,0.00019786307874950534,6.595435958316844e-05,1
